 F		 G
 1.86208714e+00  4.03935373e+01 
 1.90546072e+00  4.03935486e+01 
 1.94984460e+00  4.03935579e+01 
 1.99526231e+00  4.03935649e+01 
 2.04173794e+00  4.03935699e+01 
 2.08929613e+00  4.03935728e+01 
 2.13796209e+00  4.03935735e+01 
 2.18776162e+00  4.03935722e+01 
 2.23872114e+00  4.03935687e+01 
 2.29086765e+00  4.03935631e+01 
 2.34422882e+00  4.03935555e+01 
 2.39883292e+00  4.03935456e+01 
 2.45470892e+00  4.03935337e+01 
 2.51188643e+00  4.03935195e+01 
 2.57039578e+00  4.03935031e+01 
 2.63026799e+00  4.03934845e+01 
 2.69153480e+00  4.03934636e+01 
 2.75422870e+00  4.03934403e+01 
 2.81838293e+00  4.03934147e+01 
 2.88403150e+00  4.03933866e+01 
 2.95120923e+00  4.03933561e+01 
 3.01995172e+00  4.03933229e+01 
 3.09029543e+00  4.03932872e+01 
 3.16227766e+00  4.03932487e+01 
 3.23593657e+00  4.03932075e+01 
 3.31131121e+00  4.03931634e+01 
 3.38844156e+00  4.03931163e+01 
 3.46736850e+00  4.03930661e+01 
 3.54813389e+00  4.03930128e+01 
 3.63078055e+00  4.03929561e+01 
 3.71535229e+00  4.03928961e+01 
 3.80189396e+00  4.03928325e+01 
 3.89045145e+00  4.03927653e+01 
 3.98107171e+00  4.03926942e+01 
 4.07380278e+00  4.03926192e+01 
 4.16869383e+00  4.03925401e+01 
 4.26579519e+00  4.03924567e+01 
 4.36515832e+00  4.03923688e+01 
 4.46683592e+00  4.03922762e+01 
 4.57088190e+00  4.03921788e+01 
 4.67735141e+00  4.03920764e+01 
 4.78630092e+00  4.03919687e+01 
 4.89778819e+00  4.03918554e+01 
 5.01187234e+00  4.03917365e+01 
 5.12861384e+00  4.03916115e+01 
 5.24807460e+00  4.03914803e+01 
 5.37031796e+00  4.03913426e+01 
 5.49540874e+00  4.03911980e+01 
 5.62341325e+00  4.03910463e+01 
 5.75439937e+00  4.03908872e+01 
 5.88843655e+00  4.03907202e+01 
 6.02559586e+00  4.03905451e+01 
 6.16595002e+00  4.03903616e+01 
 6.30957344e+00  4.03901691e+01 
 6.45654229e+00  4.03899673e+01 
 6.60693448e+00  4.03897557e+01 
 6.76082975e+00  4.03895340e+01 
 6.91830971e+00  4.03893016e+01 
 7.07945784e+00  4.03890581e+01 
 7.24435960e+00  4.03888030e+01 
 7.41310241e+00  4.03885356e+01 
 7.58577575e+00  4.03882555e+01 
 7.76247117e+00  4.03879620e+01 
 7.94328235e+00  4.03876546e+01 
 8.12830516e+00  4.03873325e+01 
 8.31763771e+00  4.03869952e+01 
 8.51138038e+00  4.03866418e+01 
 8.70963590e+00  4.03862717e+01 
 8.91250938e+00  4.03858840e+01 
 9.12010839e+00  4.03854780e+01 
 9.33254301e+00  4.03850527e+01 
 9.54992586e+00  4.03846074e+01 
 9.77237221e+00  4.03841410e+01 
 1.00000000e+01  4.03836526e+01 
 1.02329299e+01  4.03831411e+01 
 1.04712855e+01  4.03826055e+01 
 1.07151931e+01  4.03820446e+01 
 1.09647820e+01  4.03814573e+01 
 1.12201845e+01  4.03808423e+01 
 1.14815362e+01  4.03801984e+01 
 1.17489755e+01  4.03795241e+01 
 1.20226443e+01  4.03788181e+01 
 1.23026877e+01  4.03780788e+01 
 1.25892541e+01  4.03773049e+01 
 1.28824955e+01  4.03764945e+01 
 1.31825674e+01  4.03756460e+01 
 1.34896288e+01  4.03747577e+01 
 1.38038426e+01  4.03738276e+01 
 1.41253754e+01  4.03728539e+01 
 1.44543977e+01  4.03718344e+01 
 1.47910839e+01  4.03707672e+01 
 1.51356125e+01  4.03696498e+01 
 1.54881662e+01  4.03684801e+01 
 1.58489319e+01  4.03672555e+01 
 1.62181010e+01  4.03659736e+01 
 1.65958691e+01  4.03646316e+01 
 1.69824365e+01  4.03632268e+01 
 1.73780083e+01  4.03617562e+01 
 1.77827941e+01  4.03602169e+01 
